Ref,First Author,Year,Authors,Title,Journal,Volume,Pages,Original Publication,PMCID,Abstract,Author Address,Language
195,Abramowitz,2009,"L. B. Abramowitz, D.~Baron, G.~Walker, F.~Yeni, P.~Duval, X.",Systematic evaluation and description of anal pathology in HIV-infected patients during the HAART era,Diseases of the Colon and Rectum,52,1130-1136,,,"PURPOSE: This study aimed to determine the prevalence of macroscopic anal lesions and associated factors in HIV-infected outpatients during the era of highly active antiretroviral therapy. METHODS: A randomly selected sample of patients with HIV-infection receiving follow-up care in the infectious diseases department of Bichat University Hospital was invited to participate in a systematic screening program consisting of anal examination with anoscopy and a standardized questionnaire. RESULTS: Of 516 patients, 473 (92 percent) participated. Overall, 208 patients (44 percent) had at least one anal macroscopic lesion: 108 patients (22.8 percent) had human papilloma (HPV)Yrelated lesions (condyloma with or without dysplasia), 67 (14.2 percent) had hemorrhoidal disease, 50 (10.6 percent) had anal fissures, and 44 (9.3) percent had other anal lesions. Independent significantly associated factors for anal condyloma were history of anal condyloma (OR, 2.09) and median number of episodes of sexual intercourse per month (OR, 1.03) in men who have sex with men; history of genital condyloma (OR, 26.74), and unprotected sexual intercourse (OR, 7.47) in heterosexual men; and CD4 cell count below 200/mm <sup>3</sup> (OR, 6.02), receptive anal intercourse (OR, 6.37), and history of anal condyloma (OR, 16.69) in women. Neither sexual behavior nor characteristics related to HIV infection were associated with hemorrhoidal disease or anal fissure. CONCLUSIONS: Because patients with HIV infections have a high prevalence of unreported anal lesions that may be highly contagious, involve risk of anal neoplasia, or negatively affect quality of life, systematic anal screening should be conducted in the HIV-infected population. ©The ASCRS 2009.","(Abramowitz, Benabderrahmane) AP HP, Department of Gastroenterology and Proctology, Bichat University Hospital, Paris, France (Baron) Department of Biostatistics, Bichat University Hospital, Paris 7 University, Paris, France (Walker) AP-HP, Department of Anatomopathology, Bichat University Hospital, Paris, France (Yeni, Duval) Department of Infectious and Tropical Diseases, Bichat University Hospital, Paris 7 University, Paris, France (Duval) Infectious Diseases Laboratory, Bichat University Hospital, Paris 7 University, Paris, France (Duval) INSERM Clinical Investigation Center 007, Bichat University Hospital, AP-HP, Paris, France (Abramowitz) Service de Gastroenterologie, Hopital Universitaire Bichat Claude Bernard, 46 Rue Henri Huchard, 75877 Paris, Cedex 18, France~L. Abramowitz, Service de Gastroenterologie, Hopital Universitaire Bichat Claude Bernard, 46 Rue Henri Huchard, 75877 Paris, Cedex 18, France. E-mail: laurent.abramowitz@bch.aphp.fr",English
197,Abramowitz,2016,"L. B. Abramowitz, D.~Walker, F.~Yazdapanah, Y.~Yeni, P.~Rioux, C.~Bouscarat, F.~Lafferre, E.~Mentre, F.~Duval, X.",Determinants of macroscopic anal cancer and precancerous lesions in 1206 HIV-infected screened patients,Colorectal Disease,18,997-1004,,,"Aim: Anal screening is recommended in HIV-positive patients, especially men who have sex with men (MSM), due to an increased incidence of anal cancer. The optimal screening methods are not generally agreed. Method: Screening for anal lesions by anorectal examination, including anoscopy, was offered to HIV-positive outpatients in a tertiary care university hospital regardless of gender or sexual orientation. Results: Among the 1206 screened patients (701 MSM, 247 heterosexual men, 258 women), 311 (26%) had histologically proven lesions related to human papilloma virus (HPV) (34% MSM, 14% heterosexual men, 14% women); 123 (10%) had low-grade dysplasia and 70 (6%) high-grade dysplasia. Seven anal cancers were also diagnosed. Determinants of any lesion were age < 45 years [OR = 1.56 (95% CI, 1.16-2.11)], a CD4 count of < 200/mm<sup>3</sup> [OR = 2.54 (1.71-3.78)], receptive anal intercourse [OR =3.03 (2.06-4.47)], sub-Saharan African origin [OR = 0.53 (0.33-0.85)], and history of HPV-related lesion [OR = 1.84 (1.35-2.51)]. These determinants were similar for all different grades of dysplasia. In patient subgroup analysis, receptive anal intercourse, the CD4 cell count and a history of HPV lesions were determinants of HPV-positivity in all patients, whereas age was only a determinant in men. Conclusion: Anoscopy is an alternative method for anal screening in an HIV-positive population. This screening has to be compared with other tools in populations at high risk of anal cancer. Copyright Colorectal Disease © 2016 The Association of Coloproctology of Great Britain and Ireland","(Abramowitz, Benabderrahmane, Lafferre) AP-HP, Department of Gastroenterology and Proctology, Bichat University Hospital, Paris, France (Walker) Department of Anatomopathology, Bichat University Hospital, Paris, France (Yazdapanah, Yeni, Rioux) Department of Infectious and Tropical Diseases, Bichat University Hospital, Paris, France (Yazdapanah, Yeni, Rioux, Mentre) Paris 7 Denis Diderot University, Paris, France (Bouscarat) AP-HP, Department of Dermatology, Bichat University Hospital, Paris, France (Mentre) Department of Biostatistics, Bichat University Hospital, Paris, France (Duval) Inserm, CIC 1425, Clinical Investigation Center, Bichat University Hospital, Paris, France (Duval) Inserm, IAME UMR 1138, Bichat University Hospital, Paris, France~L. Abramowitz, AP-HP, Department of Gastroenterology and Proctology, Bichat University Hospital, Paris, France. E-mail: laurent.abramowitz@bch.aphp.fr",English
198,Abramowitz,2011,"L. J. Abramowitz, A. C.~Jaroud, F.~Haesebaert, J.~Siproudhis, L.~Pradat, P.~Aynaud, O.~Leocmach, Y.~Soubeyrand, B.~Dachez, R.~Riethmuller, D.~Mougin, C.~Pretet, J. L.~Denis, F.",Human papillomavirus genotype distribution in anal cancer in France: the EDiTH V study,International Journal of Cancer,129,433-439,,,"Anal cancer is a rare cancer but its incidence is increasing. Human papillomavirus (HPV) infection seems to be associated with the occurrence of most cases. The genotype-specific prevalence of HPV in anal cancer was estimated to assess the potential benefit of HPV vaccination in France. Anal cancer histological specimens were retrospectively recruited in 2008 from 16 French centres and centrally tested for HPV genotyping using the INNO-LiPA assay allowing the detection of 28 genotypes. Results were analyzed according to age, gender, HIV status when available and histological diagnosis. A total of 366 anal cancer cases were analyzed among which 62% were females. Mean age at diagnosis was 54.8 years in males and 66.4 years in females (p <0.001). HPV was found in 96.7% of cases, 72% being infected by a single HPV type. Presence of at least one high-risk genotype was observed in 91% of cases (96% in females and 83% in males; p <0.001). HPV16 was by far the most prevalent genotype (75%), followed by HPV18, HPV52, HPV33, and HPV51 (4-6%). HPV16/18 alone or in association were found in 78% of all cases. HIV-positive cases had a higher proportion of multiple HPV infection than HIV-negative cases and a slightly different HPV type distribution with an under-representation of HPV16 and an over-representation of other types. Our results indicate that anal cancer rarely occurs in the absence of HPV and emphasize the predominant role of HPV16. The potential benefit of HPV vaccine on the occurrence of anal cancer should be further evaluated. © 2010 UICC.","(Abramowitz) APHP, Hopital Bichat, Service de Gastroenterologie et de Proctologie, 46 rue Henri Huchard, 75877 Paris, France (Jacquard, Jaroud, Haesebaert, Leocmach, Soubeyrand) Direction Medicale France, Sanofi Pasteur MSD, Lyon, France (Siproudhis) Service d'Hepatogastroenterologie, Hopital Pontchaillou, Rennes, France (Pradat) Service d'Hepatogastroenterologie, Hotel-Dieu, Hospices Civils de Lyon, France (Pradat) IFR62 Lyon-Est, Universite Claude Bernard Lyon 1, France (Pradat) Unite de recherche sur les hepatites, INSERM U871, Lyon, France (Aynaud) Service de Dermatologie, CHU Cochin, Paris, France (Dachez) Departement de pathologie, BIOMNIS, Paris-Lyon, France (Riethmuller, Mougin, Pretet) EA3181, IFR133, Universite de Franche-Comte, Besancon, France (Riethmuller) Service de Gynecologie-Obstetrique, CHU Saint Jacques, Besancon, France (Denis) Laboratoire de Bacteriologie et Virologie, CHU Dupuytren, Limoges, France~L. Abramowitz, APHP, Hopital Bichat, Service de Gastroenterologie et de Proctologie, 46 rue Henri Huchard, 75877 Paris, France. E-mail: laurent.abramowitz@bch.ap-hop-paris.fr",English
201,Afshar,2013,"R. M. M. Afshar, H. R.~Fazlalipour, M.~Arabzadeh, S. A.","Prevalence and type distribution of human papillomavirus infection using the INNo-Lipa Assay, Kerman, Southeast Iran",Asian Pacific Journal of Cancer Prevention,14,5287-5291,,,"The human papilloma virus (HPV) causes skin and mucous membrane infections. It crosses from one person to another by skin-to-skin contact, such as sexual contact. There are more than 100 types of HPV that can influence different parts of the body. Some types of HPV can cause cancer (such as cervical or anal cancer) and others can cause warts (such as genital or plantar warts). HPV infection is one of the most common sexually transmitted infections (STIs) in Iran and around the world. Considerable molecular evidence suggests a role for human papilloma virus (HPV) in the pathogenesis of carcinoma. Epidemiological studies on human papilloma viruses (HPVs) infections in general population are critical for the performing of health policy guidelines for developing the strategies to hinder the primary and secondary different cancer. In different parts of Iran, there is a lack of population-based studies to determine the prevalence of HPV in the general population. The aim of this population-based study was therefore to report the prevalence ratse of HPV types among Iranian patients. To study the risk of human papilloma virus (HPV) infection, we managed a retrospective study in Kerman province, southeast of Iran. For this purpose, 410 patients tested for the presence of HPV DNA using PCR and INNo- Lipa assays. HPV DNA was detected in 108 out of 410 patients (26.34%), while it was not detected in any of the control group samples. Patients included 23 (21.1%) males and 86 (78.8%) females. HPV type 6 was the most common (49%) followed by HPV type 16 (10.1%), and also HPV type11 (9.2%). The prevalence of HPV in Iran is comparable to those reported in other regions of the world. In a similar manner, it seems that HPV types 6, 16 and11 are the most common types in Kerman. Additional studies on larger group of patients, particularly in those with pre-invasive forms of disease, are needed to explain the roles of different HPV types in this location of Iran.","(Afshar) Research Center for Tropical and Infectious Diseases, Kerman University of Medical Sciences, Kerman, Iran, Islamic Republic of (Mollaie, Fazlalipour) Department of Medical Virology, Iran University of Medical Sciences, Tehran, Iran, Islamic Republic of (Arabzadeh) Department of Medical Virology, Kerman University of Medical Sciences, Kerman, Iran, Islamic Republic of~H.R. Mollaie",English
202,Agan,2013,"B. K. M. Agan, G. E.~NsouliMaktabi, H.~Wang, X.~Gaydos, J. C.~Ganesan, A.~Kortepeter, M. G.~Sanchez, J. L.",Human papillomavirus seroprevalence among men entering military service and seroincidence after ten years of service,Msmr,20,21-24,,,"Vaccination against human papillomavirus (HPV) is recommended to prevent cervical cancer among women. Vaccinating men against human papillomavirus (HPV) can prevent penile, anal, and oral cancers, anogenital warts, and the transmission of HPV to their sexual partners. This study characterized HPV acquisition among male military members by evaluating both seroprevalence at entry into service and seroincidence of HPV infection after ten years of service. At entry, 29 of 200 (14.5%) male service members were positive for HPV serotypes 6, 11, 16, or 18. Of 199 initially seronegative for at least one of the four HPV serotypes, 68 (34.2%) seroconverted to one or more serotypes at ten years; more than one-third of these were seropositive for oncogenic HPV serotypes. This estimate of HPV seroprevalence among male military accessions is higher than that reported among U.S. civilian males. Vaccination to prevent genital warts and cancers resulting from HPV infection may decrease health care system burdens. Further analyses are warranted to understand the potential costs and benefits of a policy to vaccinate male service members.","(Agan) Infectious Disease Clinical Research Program, Department of Preventive Medicine and Biometrics, Uniformed Services University of the Health Sciences, Bethesda, MD, USA.~B.K. Agan, Infectious Disease Clinical Research Program, Department of Preventive Medicine and Biometrics, Uniformed Services University of the Health Sciences, Bethesda, MD, USA.",English
205,Akogbe,2012,"G. O. A. Akogbe, A.~Sirak, B.~Anic, G. M.~Papenfuss, M. R.~Fulp, W. J.~Lin, H. Y.~Abrahamsen, M.~Villa, L. L.~LazcanoPonce, E.~Quiterio, M.~Smith, D.~Schabath, M. B.~Salmeron, J.~Giuliano, A. R.","Race and prevalence of human papillomavirus infection among men residing in Brazil, Mexico and the United States",International Journal of Cancer,131,E282-E291,,,"Human papillomavirus (HPV) causes anal, penile and oropharyngeal cancers in men. Genital HPV prevalence in men appears to vary by world region with men residing in Asia having among the lowest prevalence. Unfortunately, there is little information on prevalence of HPV infection in men by race. The purpose of this study was to examine HPV prevalence by race across three countries. 3,909 men ages 18-70 years enrolled in an ongoing prospective cohort study of the natural history of HPV in men (The HIM Study) were included in the analysis. Participants completed risk factor questionnaires and samples were taken from the penile epithelium and scrotum for HPV detection. HPV testing of the combined DNA extract was conducted using PCR and genotyping. Asian/Pacific Islanders had the lowest HPV prevalence of 42.2% compared to Blacks (66.2%), and Whites (71.5%). The Asian/Pacific Islander race was strongly protective in univariate analysis (prevalence ratio (PR) = 0.59; 95% confidence interval (CI): 0.48-0.74) and multivariate analysis for any HPV infection (PR = 0.65; 95% CI: 0.52-0.8). Stratified analysis by lifetime number of female partners also showed strong inverse associations with the Asian/Pacific Islander race. We consistently observed the lowest prevalence of HPV infection among Asian/Pacific Islanders with moderate inverse associations even after various adjustments for potential confounding factors. Unmeasured behavioral factors, sexual mixing with low risk women, and/or race-specific differences in the frequency of germline variations among immune regulating genes may underlie these associations. Further studies among Asian populations that incorporate measures of immuno-genetics are needed to understand this phenomenon. Copyright © 2011 UICC.","(Akogbe, Ajidahun, Sirak, Anic, Papenfuss, Fulp, Lin, Abrahamsen, Smith, Schabath, Giuliano) Department of Cancer Epidemiology, H. Lee Moffitt Cancer Center and Research Institute, MRC-CANCONT, 12902 Magnolia Drive, Tampa, FL 33612, United States (Villa) Ludwig Institute for Cancer Research, Department of Virology, Sao Paulo, Brazil (Lazcano-Ponce, Quiterio, Salmeron) Centro de Investigacion en Salud Poblacional, Instituto Nacional de Salud Publica, Cuernavaca, Morleos, Mexico (Salmeron) Unidad de Investigacion Epidemiologica y en Servcios de Salud, Instituto Mexicano Del Seguro Social, Morelos, Mexico~A.R. Giuliano, Department of Cancer Epidemiology, H. Lee Moffitt Cancer Center and Research Institute, MRC-CANCONT, 12902 Magnolia Drive, Tampa, FL 33612, United States. E-mail: Anna.Giuliano@Moffitt.org",English
206,Alberts,2015,"C. J. V. R. Alberts, M. S.~Prins, M.~Pawlita, M.~Van Der Loeff, M. F. S.~Waterboer, T.",HIV is an important risk factor for human papillomavirus types 16 and 18 seropositivity among sexually active men who have sex with men,Sexually Transmitted Diseases,42,129-134,,,"Objective The aim of this study was to investigate whether HIV infection is a main risk factor for human papillomavirus (HPV)-16 and HPV-18 seropositivity in men who have sex with men (MSM), and what other risk factors are associated with HPV-16 and HPV-18 seropositivity in this population. Methods Men who have sex with men visiting a sexually transmitted infection (STI) clinic in Amsterdam in 2008 to 2009 answered questions concerning demographics and sexual behavior. Sera were tested for HPV antibodies to the major HPV capsid protein L1 by Luminex-based multiplex serology. As it is known that site of exposure is associated with seropositivity, this analysis was restricted to MSM who reported receptive anal sex during the preceding 6 months. Using multivariable logistic regression, we examined whether HIV was associated with HPV serostatus. Results Included in the study were 415 HIV-negative and 205 HIV-positive MSM reporting receptive anal sex. Median age of the study population was 39 years (interquartile range, 31-44). Human papillomavirus seroprevalence differed significantly between HIV-negative and HIV-positive MSM: 31% versus 65% (P < 0.001) for HPV-16 and 28% versus 51% (P < 0.001) for HPV-18. After adjusting for important risk factors HPV-16 (adjusted odds ratio, 2.80; 95% confidence interval, 1.75-4.49) and HPV-18 (adjusted odds ratio, 1.78; 95% confidence interval, 1.11-2.85), seropositivity was significantly more common in HIV-positive than in HIV-negative MSM. We could not identify other consistent risk factors for HPV-16 and HPV-18 seropositivity. Conclusions HIV infection is an important risk factor for HPV-16 and HPV-18 seropositivity among MSM reporting receptive anal sex in the preceding 6 months. Copyright © 2015 by the American Sexually Transmitted Diseases Association.","(Alberts, Van Rooijen, Prins, Van Der Loeff) Public Health Service of Amsterdam (GGD), Cluster Infectious Diseases, Department of Research, Amsterdam, Netherlands (Alberts, Prins, Van Der Loeff) Department of Internal Medicine, Center for Infection and Immunity Amsterdam(CINIMA), Academic Medical Center (AMC), Amsterdam, Netherlands (Pawlita, Waterboer) Infection and Cancer Program, German Cancer Research Center (DKFZ), Heidelberg, Germany (Alberts) Public Health Service, Department of Infectious Diseases, Nieuwe Achtergracht 100, Amsterdam 1018 WT, Netherlands~C.J. Alberts, Public Health Service, Department of Infectious Diseases, Nieuwe Achtergracht 100, Amsterdam 1018 WT, Netherlands",English
209,Alemany,2015,"L. S. Alemany, M.~AlvaradoCabrero, I.~Quiros, B.~Salmeron, J.~Shin, H. R.~Pirog, E. C.~Guimera, N.~HernandezSuarez, G.~Felix, A.~Clavero, O.~Lloveras, B.~Kasamatsu, E.~Goodman, M. T.~Hernandez, B. Y.~Laco, J.~Tinoco, L.~Geraets, D. T.~Lynch, C. F.~Mandys, V.~Poljak, M.~Jach, R.~Verge, J.~Clavel, C.~Ndiaye, C.~Klaustermeier, J.~Cubilla, A.~Castellsague, X.~Bravo, I. G.~Pawlita, M.~Quint, W. G.~Munoz, N.~Bosch, F. X.~De Sanjose, S.",Human papillomavirus DNA prevalence and type distribution in anal carcinomas worldwide,International Journal of Cancer,136,98-107,,,"Knowledge about human papillomaviruses (HPV) types involved in anal cancers in some world regions is scanty. Here, we describe the HPV DNA prevalence and type distribution in a series of invasive anal cancers and anal intraepithelial neoplasias (AIN) grades 2/3 from 24 countries. We analyzed 43 AIN 2/3 cases and 496 anal cancers diagnosed from 1986 to 2011. After histopathological evaluation of formalin-fixed paraffin-embedded samples, HPV DNA detection and genotyping was performed using SPF-10/DEIA/LiPA<inf>25</inf> system (version 1). A subset of 116 cancers was further tested for p16<sup>INK4a</sup> expression, a cellular surrogate marker for HPV-associated transformation. Prevalence ratios were estimated using multivariate Poisson regression with robust variance in the anal cancer data set. HPV DNA was detected in 88.3% of anal cancers (95% confidence interval [CI]: 85.1-91.0%) and in 95.3% of AIN 2/3 (95% CI: 84.2-99.4%). Among cancers, the highest prevalence was observed in warty-basaloid subtype of squamous cell carcinomas, in younger patients and in North American geographical region. There were no statistically significant differences in prevalence by gender. HPV16 was the most frequent HPV type detected in both cancers (80.7%) and AIN 2/3 lesions (75.4%). HPV18 was the second most common type in invasive cancers (3.6%). p16<sup>INK4a</sup> overexpression was found in 95% of HPV DNA-positive anal cancers. In view of the results of HPV DNA and high proportion of p16<sup>INK4a</sup> overexpression, infection by HPV is most likely to be a necessary cause for anal cancers in both men and women. The large contribution of HPV16 reinforces the potential impact of HPV vaccines in the prevention of these lesions. What's new? Human papillomavirus (HPV) is linked to anal cancer through high HPV DNA-detection rates. Here, in one of the largest international studies to date, HPV DNA was detected in more than 88% of anal cancers and more than 95% of anal intraepithelial neoplasias grades 2/3. HPV16 was the most frequently detected virus type, followed by HPV18. Overexpression of p16<sup>INK4a</sup>, a surrogate marker for HPV-associated transformation, was found in 95% of HPV-positive anal cancers. The data implicate HPV as a causative factor in anal cancer. Copyright © 2014 UICC.","(Alemany, Saunier, Quiros, Clavero, Klaustermeier, Castellsague, Bravo, Bosch, De Sanjose) Unit of Infections and Cancer, Cancer Epidemiology Research Program, Institut Catala d'Oncologia, Catalan Institute of Oncology, Gran Via de l'Hospitalet, 199-203, Barcelona 08908, Spain (Alemany, Klaustermeier, De Sanjose) CIBER en Epidemiologia y Salud Publica (CIBERESP), Spain (Alvarado-Cabrero, Salmeron) Pathology Department, Mexican Oncology Hospital, IMSS, Mexico DF, Mexico (Shin) National Cancer Center, Seoul, South Korea (Pirog) Pathology Department, Weill Cornell Medical Centre, New York Hospital, New York, United States (Guimera, Geraets, Quint) DDL Diagnostic Laboratory, Rijswijk, Netherlands (Hernandez-Suarez) Instituto Nacional de Cancerologia, Bogota, Colombia (Felix) Pathology Department, Instituto Portugues de Oncologia de Lisboa Francisco Gentil, CEDOC-FCM NOVA University, Lisbon, Portugal (Lloveras) Pathology Department, Hospital Del Mar, Barcelona, Spain (Kasamatsu, Cubilla) Instituto de Investigaciones en Ciencias de la Salud, Universidad Nacional de Asuncion, Asuncion, Paraguay (Goodman, Hernandez) Cancer Research Center, University of Hawaii, Honolulu, United States (Hernandez) Cedars Sinai Medical Center, Los Angeles, United States (Laco) Fingerland Department of Pathology, Charles University, Faculty of Medicine, University Hospital Hradec Kralove, Prague, Czech Republic (Tinoco) Hospital Oncologico, Quito, Ecuador (Lynch) College of Public Health, University of Iowa, Iowa City, United States (Mandys) Third Faculty of Medicine, Faculty Hospital King's Vineyards, Prague, Czech Republic (Poljak) Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Slovenia (Jach) Jagiellonian University Medical College, Krakow, Poland (Verge) Hospital Residencia Sant Camil, Sant Pere de Ribes, Spain (Clavel) Unite Fonctionelle Biologia Cellulaire, CHU Reims, Laboratoire Pol Bouin, Hopital Maison Blanche, Reims, France (Ndiaye) Department of Social and Preventive Medicine, Universite de Montreal, Montreal, Canada (Pawlita) German Cancer Research Center (DKFZ), Heidelberg, Germany (Munoz) Cancer Institute of Colombia, Colombia~L. Alemany, Unit of Infections and Cancer, Cancer Epidemiology Research Program, Institut Catala d'Oncologia, Catalan Institute of Oncology, Gran Via de l'Hospitalet, 199-203, Barcelona 08908, Spain",English
211,Alexandrou,2014,"A. D. Alexandrou, N.~Levidou, G.~Griniatsos, J.~Sougioultzis, S.~Korkolopoulou, P.~Felekouras, E.~Pikoulis, E.~Diamantis, T.~Tsigris, C.~Tzivras, M.",The incidence of HPV infection in anal cancer patients in Greece,Acta Gastro-Enterologica Belgica,77,213-216,,,"Background and aim of the study: Although anal cancer represents a relatively uncommon malignancy, its incidence over the last five decades, has been reported as increased for both sexes, worldwide. Human papillomavirus (HPV) infection has been shown to be a major cause for its development. The aim of the present study is to report on clinical, epidemiological and virological data of squamous anal cancer in Greek patients. Patients and Method: Between January 2002 and December 2010, 11 Greek patients (6 females) who were diagnosed as suffering from squamous cell anal or perianal cancer, were treated in our Hospital. Formalin fixed paraffin embedded tissue samples, obtained at the time of the anal biopsy or surgery, were analyzed by PCR in order to identify the presence as well as the type of HPV infection. Results: Overall, the presence of HPV DNA was detected in 6 out of the 11 patients (54.5%). The ""highrisk"" HPV DNA was detected in 3 of them (2 women and 1 man), while the ""lowrisk"" HPV DNA was detected in the remaining three (2 women and 1 man). Conclusion: The incidence of HPV infection in squamous cell anal cancer Greek patients, is lower than other Western countries, probably reflecting differences in sexual habits in the Greek population.","(Alexandrou, Dimitriou, Griniatsos, Felekouras, Pikoulis, Diamantis, Tsigris) 1st Department of Surgery, University of Athens, Medical School, Laiko Hospital, Athens, Greece (Levidou, Korkolopoulou) Pathology Department, University of Athens, Medical School, Laiko Hospital, Athens, Greece (Sougioultzis, Tzivras) Gastroenterology Unit, Department of Pathologic Physiology, University of Athens, Medical School, Laiko Hospital, Athens, Greece~N. Dimitriou, 26 Mikras Asias str., Athens 11527, Greece. E-mail: Nicdem_gr@hotmail.com",English
212,AlvarezArguelles,2013,"M. E. M. AlvarezArguelles, S.~Junquera, M. L.~Boga, J. A.~Villa, L.~PerezCastro, S.~de Ona, M.",Human Papillomavirus Infection in a Male Population Attending a Sexually Transmitted Infection Service,PLoS ONE,8 (1) (no pagination),,,,"Objective: Human Papillomavirus (HPV) infection in men may produce cancer and other major disorders. Men play an important role in the transmission of the virus and act as a reservoir. The aim of this study was to determine the HPV-genotypes and their prevalence in a group of men attending a Sexually Transmitted Infection service. Patients and Samples: Between July 2002 and June 2011, 1392 balanopreputial, 435 urethral, 123 anal, and 67 condyloma lesions from 1551 men with a mean age of 35.8+/-11.3 years old (range: 17-87) were collected for HPV-DNA testing. Methods: A fragment of the L1-gene and a fragment of the E6/E7-genes were amplified by PCR. Positive samples were typed by hybridization. Results: The HPV genome was detected in 36.9% (486/1318) balanopreputial and in 24.9% (101/405) urethral (p<0.0001) swabs from 38.1% (538) of 1469 men. Co-infections were present in 5.4% (80/1469) of cases. HPV was found in 43.9% (373/850) of men younger than 35 vs. 31.7% (187/589) of men aged >35. HPV was found in 59.4% (104) of 165 men with lesions (macroscopic or positive peniscopy), and in 22.8% (61/267) without clinical alterations. HPV was also detected in 71.4% (40/56) men with condylomata and in 58.7% (64/109) of men with positive peniscopy. Conclusions: HPV prevalence in men was high and decreased with age. HPV was found more frequently in balanopreputial than in urethral swabs. There was a low rate of co-infections. Low-risk HPV vaccine genotypes were the most recurrent especially in younger. Although HPV has been associated with clinical alterations, it was also found in men without any clinical presentation. Inclusion of men in the national HPV vaccination program may reduce their burden of HPV-related disease and reduce transmission of the virus to non-vaccinated women. © 2013 Alvarez-Arguelles et al.","(Alvarez-Arguelles, Melon, Boga, Villa, de Ona) Servicio de Microbiologia, Hospital Universitario Central de Asturias, Oviedo, Spain (Junquera) Unidad de ITS, Hospital Monte Naranco, Oviedo, Spain (Perez-Castro) Servicio de Microbiologia, Complejo Hospitalario Universitario de Vigo, Vigo, Spain~M. E. Alvarez-Arguelles, Servicio de Microbiologia, Hospital Universitario Central de Asturias, Oviedo, Spain. E-mail: martaealvarez@gmail.com",English
